0	-0.0065	-0.0055	-0.0045	-0.0035	-0.0025	-0.0015	-0.0005	0.0005	0.0015	0.0025	0.0035	0.0045	0.0055	0.0065
-0.06	-5.2447995393e-09	-4.19748174191e-09	-4.43927778322e-09	-5.18448128079e-09	-5.48329600944e-09	-5.26620857852e-09	-4.09564625136e-09	-3.36285427771e-09	-2.60814879392e-09	-3.22488929765e-09	-4.12988259237e-09	-5.63546846208e-09	-5.46793423752e-09	-6.06318137323e-09
-0.0595	-4.8703695393e-09	-3.82305174191e-09	-4.06484778322e-09	-4.81005128079e-09	-5.10886600944e-09	-4.89177857852e-09	-3.72121625136e-09	-2.98842427771e-09	-2.23371879392e-09	-2.85045929765e-09	-3.75545259237e-09	-5.26103846208e-09	-5.09350423752e-09	-5.68875137323e-09
-0.059	-4.5706595393e-09	-3.52334174191e-09	-3.76513778322e-09	-4.51034128079e-09	-4.80915600944e-09	-4.59206857852e-09	-3.42150625136e-09	-2.68871427771e-09	-1.93400879392e-09	-2.55074929765e-09	-3.45574259237e-09	-4.96132846208e-09	-4.79379423752e-09	-5.38904137323e-09
-0.0585	-4.2971695393e-09	-3.24985174191e-09	-3.49164778322e-09	-4.23685128079e-09	-4.53566600944e-09	-4.31857857852e-09	-3.14801625136e-09	-2.41522427771e-09	-1.66051879392e-09	-2.27725929765e-09	-3.18225259237e-09	-4.68783846208e-09	-4.52030423752e-09	-5.11555137323e-09
-0.058	-4.0204295393e-09	-2.97311174191e-09	-3.21490778322e-09	-3.96011128079e-09	-4.25892600944e-09	-4.04183857852e-09	-2.87127625136e-09	-2.13848427771e-09	-1.38377879392e-09	-2.00051929765e-09	-2.90551259237e-09	-4.41109846208e-09	-4.24356423752e-09	-4.83881137323e-09
-0.0575	-3.7374595393e-09	-2.69014174191e-09	-2.93193778322e-09	-3.67714128079e-09	-3.97595600944e-09	-3.75886857852e-09	-2.58830625136e-09	-1.85551427771e-09	-1.10080879392e-09	-1.71754929765e-09	-2.62254259237e-09	-4.12812846208e-09	-3.96059423752e-09	-4.55584137323e-09
-0.057	-3.4427395393e-09	-2.39542174191e-09	-2.63721778322e-09	-3.38242128079e-09	-3.68123600944e-09	-3.46414857852e-09	-2.29358625136e-09	-1.56079427771e-09	-8.06088793921e-10	-1.42282929765e-09	-2.32782259237e-09	-3.83340846208e-09	-3.66587423752e-09	-4.26112137323e-09
-0.0565	-3.1416695393e-09	-2.09435174191e-09	-2.33614778322e-09	-3.08135128079e-09	-3.38016600944e-09	-3.16307857852e-09	-1.99251625136e-09	-1.25972427771e-09	-5.05018793921e-10	-1.12175929765e-09	-2.02675259237e-09	-3.53233846208e-09	-3.36480423752e-09	-3.96005137323e-09
-0.056	-2.8632395393e-09	-1.81592174191e-09	-2.05771778322e-09	-2.80292128079e-09	-3.10173600944e-09	-2.88464857852e-09	-1.71408625136e-09	-9.81294277714e-10	-2.26588793921e-10	-8.43329297655e-10	-1.74832259237e-09	-3.25390846208e-09	-3.08637423752e-09	-3.68162137323e-09
-0.0555	-2.6013795393e-09	-1.55406174191e-09	-1.79585778322e-09	-2.54106128079e-09	-2.83987600944e-09	-2.62278857852e-09	-1.45222625136e-09	-7.19434277714e-10	3.52712060786e-11	-5.81469297655e-10	-1.48646259237e-09	-2.99204846208e-09	-2.82451423752e-09	-3.41976137323e-09
-0.055	-2.3654095393e-09	-1.31809174191e-09	-1.55988778322e-09	-2.30509128079e-09	-2.60390600944e-09	-2.38681857852e-09	-1.21625625136e-09	-4.83464277714e-10	2.71241206079e-10	-3.45499297655e-10	-1.25049259237e-09	-2.75607846208e-09	-2.58854423752e-09	-3.18379137323e-09
-0.0545	-2.1754795393e-09	-1.12816174191e-09	-1.36995778322e-09	-2.11516128079e-09	-2.41397600944e-09	-2.19688857852e-09	-1.02632625136e-09	-2.93534277714e-10	4.61171206079e-10	-1.55569297655e-10	-1.06056259237e-09	-2.56614846208e-09	-2.39861423752e-09	-2.99386137323e-09
-0.054	-1.9921595393e-09	-9.4484174191e-10	-1.18663778322e-09	-1.93184128079e-09	-2.23065600944e-09	-2.01356857852e-09	-8.43006251357e-10	-1.10214277714e-10	6.44491206079e-10	2.77507023452e-11	-8.77242592367e-10	-2.38282846208e-09	-2.21529423752e-09	-2.81054137323e-09
-0.0535	-1.7983695393e-09	-7.5105174191e-10	-9.92847783222e-10	-1.73805128079e-09	-2.03686600944e-09	-1.81977857852e-09	-6.49216251357e-10	8.35757222862e-11	8.38281206079e-10	2.21540702345e-10	-6.83452592367e-10	-2.18903846208e-09	-2.02150423752e-09	-2.61675137323e-09
-0.053	-1.6198515393e-09	-5.7253374191e-10	-8.14329783222e-10	-1.55953328079e-09	-1.85834800944e-09	-1.64126057852e-09	-4.70698251357e-10	2.62093722286e-10	1.01679920608e-09	4.00058702345e-10	-5.04934592367e-10	-2.01052046208e-09	-1.84298623752e-09	-2.43823337323e-09
-0.0525	-1.4509215393e-09	-4.0360374191e-10	-6.45399783222e-10	-1.39060328079e-09	-1.68941800944e-09	-1.47233057852e-09	-3.01768251357e-10	4.31023722286e-10	1.18572920608e-09	5.68988702345e-10	-3.36004592367e-10	-1.84159046208e-09	-1.67405623752e-09	-2.26930337323e-09
-0.052	-1.2906795393e-09	-2.4336174191e-10	-4.85157783222e-10	-1.23036128079e-09	-1.52917600944e-09	-1.31208857852e-09	-1.41526251357e-10	5.91265722286e-10	1.34597120608e-09	7.29230702345e-10	-1.75762592367e-10	-1.68134846208e-09	-1.51381423752e-09	-2.10906137323e-09
